budget,arm,seed,actual_steps,tasks,solvable,adaptation_required,best_fixed,capability_minus_best_fixed
1,analytic_contrast,93201,17880,1,1,1,1,0
1,observation_curriculum,93201,17880,1,1,1,1,0
1,target_only,93201,17880,1,1,1,1,0
1,uniform,93201,17880,1,1,0,1,0
1,reference_contrast,93201,17880,1,1,1,1,0
1,analytic_contrast,93202,17880,1,1,1,1,0
1,observation_curriculum,93202,17880,1,1,1,1,0
1,target_only,93202,17880,1,1,1,1,0
1,uniform,93202,17880,1,1,0,1,0
1,reference_contrast,93202,17880,1,0,0,0,0
1,analytic_contrast,93203,17880,1,1,1,1,0
1,observation_curriculum,93203,17880,1,1,1,1,0
1,target_only,93203,17880,1,1,1,1,0
1,uniform,93203,17880,1,1,0,1,0
1,reference_contrast,93203,17880,1,1,1,1,0
4,analytic_contrast,93201,46488,4,4,4,4,0
4,observation_curriculum,93201,46488,4,4,4,4,0
4,target_only,93201,46488,4,4,1,4,0
4,uniform,93201,46488,4,4,1,4,0
4,reference_contrast,93201,46488,4,3,3,3,0
4,analytic_contrast,93202,46488,4,4,4,4,0
4,observation_curriculum,93202,46488,4,4,4,4,0
4,target_only,93202,46488,4,4,1,4,0
4,uniform,93202,46488,4,4,0,4,0
4,reference_contrast,93202,46096,4,2,2,2,0
4,analytic_contrast,93203,46488,4,4,4,4,0
4,observation_curriculum,93203,46488,4,4,4,4,0
4,target_only,93203,46488,4,4,2,4,0
4,uniform,93203,46488,4,4,1,4,0
4,reference_contrast,93203,46096,4,1,1,1,0
